,Drug1_ID,Drug2_ID,Y,Neg samples
254,DB08880,DB08807,34,DB09211$t
255,DB00224,DB00869,5,DB00899$t
256,DB04855,DB00843,5,DB08967$t
257,DB09084,DB01380,25,DB00685$h
258,DB09120,DB00312,5,DB01169$h
259,DB04871,DB01233,25,DB01092$h
260,DB09065,DB08970,9,DB01558$t
261,DB08933,DB00250,9,DB06663$t
262,DB00472,DB01418,5,DB01172$h
263,DB00757,DB09078,75,DB01013$h
264,DB00778,DB06212,9,DB00820$t
265,DB09214,DB00991,25,DB01035$h
266,DB00821,DB00620,25,DB00480$t
267,DB00296,DB06716,25,DB00674$h
268,DB00246,DB04855,5,DB00991$h
269,DB09330,DB08932,9,DB09396$h
270,DB08881,DB01023,8,DB00601$h
271,DB00749,DB04573,81,DB01602$h
272,DB00962,DB00933,25,DB00212$h
273,DB09279,DB09215,25,DB02659$h
274,DB00224,DB01418,5,DB01017$h
275,DB00469,DB00749,25,DB09053$t
276,DB05676,DB00620,25,DB00917$t
277,DB01440,DB00907,25,DB00928$h
278,DB09215,DB00288,25,DB08865$t
279,DB00991,DB00919,14,DB00974$t
280,DB00312,DB08970,8,DB01005$h
281,DB09074,DB00332,5,DB06211$t
282,DB02709,DB01133,25,DB00381$t
283,DB00749,DB08808,34,DB01067$t
284,DB08912,DB04871,8,DB00891$t
285,DB09330,DB00907,9,DB00730$t
286,DB01320,DB04855,8,DB00998$t
287,DB09280,DB00936,8,DB01211$h
288,DB00726,DB13139,25,DB04878$h
289,DB01233,DB00508,25,DB09214$h
290,DB00821,DB00685,71,DB01156$t
291,DB01167,DB00734,5,DB01586$t
292,DB04855,DB00332,5,DB01121$h
293,DB01164,DB06712,12,DB00468$t
294,DB00726,DB04948,34,DB00817$h
295,DB09280,DB00647,6,DB01192$h
296,DB00907,DB01036,5,DB00344$h
297,DB01088,DB00968,66,DB08871$t
298,DB00749,DB02709,25,DB06690$h
299,DB00246,DB00338,5,DB00389$t
300,DB00708,DB01440,25,DB01119$t
301,DB08922,DB00967,25,DB01048$h
302,DB09280,DB01026,8,DB06792$h
303,DB09084,DB00685,71,DB09123$t
304,DB00199,DB09236,5,DB11633$h
305,DB00210,DB08807,34,DB01415$h
306,DB02709,DB00428,14,DB04570$h
307,DB00991,DB00598,34,DB00806$h
308,DB09477,DB00255,8,DB01595$t
309,DB04871,DB00843,5,DB08804$h
310,DB01053,DB03615,8,DB00601$t
311,DB00224,DB08867,9,DB00601$t
312,DB00678,DB00697,9,DB09065$h
313,DB01167,DB08827,9,DB00625$t
314,DB08933,DB01215,9,DB12332$h
315,DB09280,DB01203,8,DB00696$h
316,DB01167,DB09065,9,DB06148$t
317,DB08912,DB00338,8,DB00810$h
318,DB00697,DB00519,66,DB09138$t
319,DB01233,DB09204,51,DB00381$t
320,DB00932,DB01167,9,DB00564$t
321,DB09073,DB09102,9,DB09128$h
322,DB00800,DB01236,25,DB01208$h
323,DB00963,DB01172,14,DB00718$h
324,DB00708,DB01210,51,DB01298$h
325,DB00338,DB00744,5,DB00201$t
326,DB09065,DB01591,5,DB06261$h
327,DB00500,DB08880,25,DB06709$h
328,DB01154,DB09204,8,DB06742$h
329,DB08922,DB00697,25,DB00699$t
330,DB01245,DB00782,12,DB00310$h
331,DB09280,DB00317,8,DB01489$t
332,DB09279,DB00708,25,DB00214$h
333,DB00224,DB04855,9,DB01333$t
334,DB00337,DB00960,34,DB00736$t
335,DB09123,DB04908,9,DB00905$t
336,DB01558,DB00967,25,DB08828$t
337,DB09242,DB01021,66,DB01339$t
338,DB00932,DB01075,5,DB01424$h
339,DB00899,DB04908,25,DB00287$h
340,DB00991,DB00428,14,DB00427$h
341,DB01154,DB00800,66,DB01182$t
342,DB00210,DB00469,25,DB00499$t
343,DB09232,DB00384,25,DB13231$t
344,DB00371,DB00849,25,DB09244$h
345,DB00337,DB00685,71,DB09320$h
346,DB00517,DB01337,25,DB01210$t
347,DB01320,DB01590,8,DB01605$h
348,DB01172,DB01135,76,DB09288$h
349,DB01440,DB00967,25,DB11239$t
350,DB02709,DB08970,25,DB08875$h
351,DB00849,DB00421,66,DB08815$t
352,DB06712,DB01089,66,DB00887$h
353,DB01244,DB00343,25,DB00339$h
354,DB06772,DB01181,25,DB06403$t
355,DB00897,DB00899,25,DB00620$t
356,DB09074,DB08820,9,DB00692$h
357,DB01034,DB09227,25,DB00604$h
358,DB00685,DB00412,63,DB09055$t
359,DB09242,DB00960,50,DB00732$t
360,DB08880,DB00903,37,DB00873$t
361,DB00472,DB01041,5,DB00866$h
362,DB00400,DB00343,25,DB09273$t
363,DB00227,DB00962,5,DB06264$h
364,DB00849,DB01088,66,DB05294$t
365,DB00497,DB00708,25,DB01583$h
366,DB00726,DB09039,75,DB00453$h
367,DB08820,DB06712,9,DB01249$h
368,DB04908,DB00472,25,DB06800$t
369,DB00903,DB00491,12,DB06212$t
370,DB00312,DB01159,6,DB01202$h
371,DB02709,DB01077,25,DB06206$h
372,DB01088,DB00498,45,DB01002$t
373,DB00960,DB06712,66,DB00762$t
374,DB00967,DB01591,25,DB06786$t
375,DB00588,DB00967,25,DB00415$h
376,DB08880,DB04272,45,DB01331$t
377,DB00697,DB01624,75,DB00872$t
378,DB01167,DB00218,75,DB00251$h
379,DB09065,DB01590,9,DB01016$t
380,DB08912,DB06654,8,DB09070$h
381,DB00337,DB00500,25,DB08875$h
382,DB06737,DB08981,25,DB08868$t
383,DB00508,DB00697,25,DB04839$h
384,DB01026,DB08881,9,DB00773$t
385,DB00246,DB01159,5,DB08801$t
386,DB00519,DB01240,66,DB06713$h
387,DB00227,DB01240,5,DB08992$h
388,DB09204,DB01041,25,DB11586$h
389,DB09477,DB06737,25,DB00280$t
390,DB08820,DB01098,9,DB11136$h
391,DB06737,DB08984,25,DB00890$t
392,DB09330,DB01558,9,DB00247$t
393,DB00421,DB00960,25,DB06826$h
394,DB01010,DB00517,12,DB00974$t
395,DB00933,DB08922,25,DB00224$h
396,DB06737,DB00467,71,DB00640$t
397,DB01320,DB01167,8,DB00231$t
398,DB09281,DB01026,8,DB09154$h
399,DB09280,DB00588,6,DB09185$t
400,DB01233,DB01624,25,DB00438$h
401,DB01611,DB00643,8,DB08808$t
402,DB00218,DB01155,75,DB04953$t
403,DB08820,DB00296,9,DB00255$t
404,DB00246,DB09097,12,DB01058$t
405,DB01332,DB01418,45,DB01050$t
406,DB01320,DB00907,6,DB01087$h
407,DB08981,DB01297,34,DB08819$h
408,DB00288,DB01245,25,DB00471$t
409,DB04855,DB00136,5,DB01017$h
410,DB08976,DB00991,25,DB13153$t
411,DB00647,DB00588,25,DB03615$t
412,DB08970,DB01245,25,DB00711$t
413,DB00543,DB06402,75,DB00442$h
414,DB01245,DB01203,51,DB01155$h
415,DB00500,DB02709,25,DB00594$t
416,DB09073,DB00381,9,DB06262$t
417,DB00607,DB09090,6,DB00744$h
418,DB00849,DB00700,66,DB13323$h
419,DB08827,DB08860,9,DB08801$h
420,DB01167,DB00690,5,DB09209$h
421,DB00519,DB02709,25,DB01045$h
422,DB03615,DB01245,76,DB08877$h
423,DB00647,DB00543,25,DB01121$t
424,DB00246,DB06772,5,DB00227$t
425,DB00312,DB00620,6,DB00434$h
426,DB00607,DB00343,6,DB01144$h
427,DB00472,DB01244,5,DB09000$h
428,DB09054,DB08932,9,DB00520$h
429,DB08881,DB00708,8,DB01162$h
430,DB00231,DB00371,25,DB01022$h
431,DB00246,DB01110,5,DB11148$t
432,DB09054,DB08860,9,DB01116$t
433,DB06737,DB01203,34,DB00185$t
434,DB00678,DB06712,66,DB09268$t
435,DB00749,DB08807,34,DB01438$t
436,DB09280,DB00726,8,DB08827$h
437,DB01167,DB00253,9,DB06595$t
438,DB06737,DB01275,34,DB01367$h
439,DB00422,DB00519,34,DB09345$h
440,DB00517,DB00647,25,DB13878$h
441,DB08922,DB00422,25,DB00390$h
442,DB01026,DB01220,9,DB00517$h
443,DB00246,DB01251,12,DB01235$h
444,DB04855,DB00647,5,DB00809$t
445,DB01320,DB00136,6,DB00722$h
446,DB04855,DB08860,9,DB00812$h
447,DB00899,DB00996,25,DB00259$h
448,DB08912,DB01110,8,DB00377$h
449,DB00381,DB01240,66,DB09167$t
450,DB01167,DB08881,9,DB00927$h
451,DB00337,DB00469,25,DB01245$t
452,DB09330,DB00831,8,DB08865$t
453,DB01203,DB03128,25,DB08983$t
454,DB01036,DB00708,25,DB01544$t
455,DB00821,DB06196,25,DB01081$t
456,DB08820,DB00734,9,DB00391$h
457,DB06737,DB00384,34,DB00677$t
458,DB01233,DB03128,25,DB01103$h
459,DB08912,DB00312,8,DB01708$h
460,DB00296,DB01154,25,DB00264$t
461,DB08881,DB00343,9,DB00330$h
462,DB09074,DB00250,5,DB00626$t
463,DB00486,DB01154,53,DB00668$h
464,DB01244,DB00697,25,DB09414$h
465,DB00800,DB06712,66,DB00745$t
466,DB00907,DB00543,5,DB00828$t
467,DB00543,DB01624,75,DB00765$t
468,DB00246,DB09039,9,DB00811$h
469,DB01240,DB00633,25,DB00610$h
470,DB00472,DB00371,5,DB06218$h
471,DB00932,DB01159,5,DB01132$t
472,DB01240,DB01210,25,DB06802$t
473,DB00678,DB00184,5,DB11239$h
474,DB00963,DB09084,25,DB06202$t
475,DB00421,DB09477,60,DB00633$t
476,DB00462,DB00899,25,DB01414$h
477,DB09054,DB00234,5,DB08882$h
478,DB00782,DB00967,25,DB00914$t
479,DB08880,DB06772,5,DB08905$h
480,DB06196,DB01421,14,DB00859$t
481,DB09280,DB04908,8,DB01126$h
482,DB08933,DB01261,9,DB00855$t
483,DB08912,DB06710,8,DB08974$h
484,DB00467,DB09268,12,DB00535$t
485,DB01167,DB01624,9,DB06211$h
486,DB09275,DB00227,8,DB00371$h
487,DB09279,DB08880,25,DB00935$h
488,DB00224,DB00690,5,DB00885$t
489,DB08881,DB01215,8,DB08903$h
490,DB00519,DB00337,25,DB01017$h
491,DB00337,DB00896,25,DB06788$h
492,DB00697,DB09204,50,DB00809$t
493,DB00960,DB08932,66,DB08976$t
494,DB01578,DB01245,76,DB04339$h
495,DB08881,DB00337,8,DB09099$t
496,DB00210,DB00960,34,DB00289$t
497,DB09330,DB00549,9,DB09147$h
498,DB00312,DB00498,6,DB00795$h
499,DB00312,DB00421,66,DB01119$h
500,DB00472,DB01210,9,DB00762$h
501,DB09065,DB01159,9,DB04930$t
502,DB00843,DB01085,25,DB07615$t
503,DB00543,DB13139,25,DB09167$t
504,DB00500,DB01297,34,DB09096$h
505,DB09215,DB00158,12,DB00718$h
506,DB00422,DB00800,34,DB00662$t
507,DB09120,DB00170,5,DB00289$h
508,DB00210,DB01578,14,DB08957$t
509,DB01244,DB00384,25,DB00606$h
510,DB06196,DB00288,25,DB06216$h
511,DB01440,DB00588,25,DB08824$h
512,DB00849,DB09034,53,DB01213$h
513,DB00647,DB00700,25,DB01545$h
514,DB01034,DB00678,5,DB09185$h
515,DB01236,DB01159,25,DB01112$h
516,DB09074,DB00338,5,DB01226$h
517,DB09073,DB00224,9,DB00945$t
518,DB06212,DB08916,9,DB01020$t
519,DB06708,DB00757,5,DB01423$h
520,DB00224,DB08970,9,DB09262$h
521,DB08984,DB09215,25,DB01392$h
522,DB04573,DB00288,9,DB01242$t
523,DB00933,DB00697,25,DB00571$t
524,DB09330,DB00338,9,DB11135$t
525,DB00312,DB00764,8,DB01319$t
526,DB00337,DB08808,34,DB00459$h
527,DB09330,DB01041,8,DB08796$t
528,DB08984,DB01172,14,DB08807$t
529,DB01222,DB08804,57,DB06145$t
530,DB08912,DB00332,8,DB00445$h
531,DB01590,DB04878,12,DB00432$t
532,DB01167,DB00869,5,DB06708$h
533,DB00422,DB08808,34,DB09099$h
534,DB08933,DB00708,9,DB00800$t
535,DB00549,DB00498,9,DB00233$t
536,DB00519,DB09477,66,DB01567$t
537,DB08912,DB01167,8,DB09070$h
538,DB09214,DB08880,25,DB00283$h
539,DB08881,DB00508,31,DB00821$h
540,DB08933,DB00497,25,DB11079$t
541,DB01088,DB01275,66,DB01147$h
542,DB00962,DB09017,25,DB13783$h
543,DB00991,DB09204,34,DB00134$h
544,DB08880,DB00199,9,DB08874$t
545,DB00764,DB00843,25,DB00292$t
546,DB00508,DB08922,25,DB08941$h
547,DB00656,DB00726,25,DB06767$h
548,DB00744,DB01133,25,DB00898$t
549,DB09065,DB00962,5,DB00780$t
550,DB08880,DB04871,8,DB01092$h
551,DB04871,DB00184,5,DB11079$t
552,DB00224,DB01591,5,DB00615$h
553,DB01244,DB09477,66,DB00560$h
554,DB00967,DB08916,9,DB09352$t
555,DB00749,DB01578,14,DB00641$h
556,DB01026,DB00332,5,DB01208$h
557,DB00744,DB06737,25,DB06626$t
558,DB00312,DB04871,6,DB11121$h
559,DB01275,DB01089,66,DB01216$h
560,DB01204,DB06212,9,DB00774$t
561,DB06402,DB09078,75,DB00978$t
562,DB00690,DB00543,25,DB11135$t
563,DB08820,DB01222,9,DB04571$h
564,DB08912,DB01320,8,DB00802$h
565,DB01320,DB01236,6,DB00992$h
566,DB01026,DB09102,9,DB01685$h
567,DB00821,DB09204,34,DB00710$h
568,DB09039,DB06701,5,DB09167$h
569,DB00497,DB01236,25,DB00446$h
570,DB09120,DB00231,5,DB00611$h
571,DB08881,DB01624,31,DB00520$t
572,DB08881,DB01137,9,DB01097$h
573,DB01026,DB00991,5,DB00889$h
574,DB00849,DB09204,8,DB06193$t
575,DB01320,DB04908,8,DB01158$t
576,DB00932,DB02709,47,DB00695$t
577,DB01240,DB00412,45,DB00847$t
578,DB06196,DB01380,25,DB06263$h
579,DB09074,DB00530,5,DB00130$t
580,DB06196,DB01297,34,DB04938$h
581,DB09054,DB09330,9,DB00477$t
582,DB08881,DB00843,8,DB00649$t
583,DB00991,DB03615,14,DB00195$t
584,DB09054,DB01220,9,DB01349$h
585,DB00869,DB01158,66,DB09117$h
586,DB06708,DB01244,5,DB00847$h
587,DB01275,DB01021,66,DB01015$h
588,DB00936,DB01133,25,DB06616$t
589,DB00246,DB00843,5,DB13179$h
590,DB08976,DB01137,71,DB01113$t
591,DB01155,DB00472,75,DB00146$t
592,DB09281,DB00764,3,DB01623$h
593,DB01026,DB08916,9,DB00193$h
594,DB00849,DB00964,66,DB00556$t
595,DB00486,DB00343,25,DB00279$t
596,DB00817,DB01261,63,DB01060$t
597,DB00472,DB00843,5,DB06219$h
598,DB09054,DB00472,5,DB01501$h
599,DB00508,DB01297,66,DB00749$h
600,DB09054,DB00757,5,DB00545$t
601,DB09477,DB01089,66,DB00624$t
602,DB01026,DB13874,5,DB09343$h
603,DB01026,DB06737,5,DB01356$h
604,DB00400,DB09236,25,DB00415$t
605,DB00296,DB00697,25,DB00345$t
606,DB01075,DB04855,75,DB01255$h
607,DB00967,DB09272,55,DB09273$h
608,DB09236,DB06403,66,DB09211$t
609,DB00778,DB09268,12,DB09268$h
610,DB00422,DB00381,34,DB13873$h
611,DB00210,DB01210,34,DB06209$t
612,DB00849,DB01158,66,DB00437$h
613,DB01137,DB00491,63,DB00699$t
614,DB01320,DB09073,8,DB09291$h
615,DB00227,DB09123,5,DB03754$h
616,DB01591,DB00497,25,DB06217$h
617,DB00831,DB01297,66,DB00244$t
618,DB00227,DB00620,5,DB01071$h
619,DB00936,DB09236,25,DB04855$t
620,DB09072,DB00996,53,DB00443$t
621,DB01036,DB09272,55,DB00699$t
622,DB09054,DB00253,9,DB05316$t
623,DB00472,DB00184,5,DB00330$h
624,DB05676,DB00428,14,DB08800$h
625,DB00343,DB06710,5,DB01098$h
626,DB00312,DB06710,6,DB00346$h
627,DB00422,DB08932,34,DB00754$h
628,DB00337,DB09084,25,DB00594$t
629,DB00933,DB01154,25,DB06712$h
630,DB00936,DB09084,25,DB00752$h
631,DB01137,DB09268,12,DB08795$t
632,DB01026,DB00996,25,DB09257$t
633,DB08881,DB06654,8,DB04842$t
634,DB00500,DB08981,25,DB11560$t
635,DB01026,DB06268,5,DB09027$t
636,DB01261,DB00897,9,DB00647$t
637,DB09073,DB00337,9,DB01073$h
638,DB08881,DB00588,8,DB01337$h
639,DB00338,DB01240,5,DB00601$h
640,DB01215,DB01320,9,DB09009$h
641,DB01233,DB00757,75,DB01563$h
642,DB01026,DB00231,5,DB02513$h
643,DB05266,DB01418,45,DB08860$t
644,DB04855,DB09102,5,DB06738$h
645,DB00250,DB00508,9,DB00936$h
646,DB00469,DB09215,25,DB00660$t
647,DB01161,DB00543,25,DB00829$t
648,DB00381,DB00960,25,DB01164$h
649,DB08912,DB00255,8,DB09093$t
650,DB09065,DB00690,5,DB01580$h
651,DB01275,DB00800,66,DB06288$t
652,DB00412,DB01268,63,DB01214$t
653,DB09054,DB00317,5,DB01328$h
654,DB00224,DB00234,5,DB01280$t
655,DB08881,DB13874,9,DB01164$t
656,DB00312,DB06712,6,DB00338$h
657,DB01624,DB00508,25,DB00369$h
658,DB09074,DB09034,9,DB01297$h
659,DB00338,DB00422,1,DB06176$t
660,DB00199,DB01023,5,DB11574$h
661,DB08933,DB09102,9,DB00244$h
662,DB01215,DB01159,25,DB04552$h
663,DB06712,DB08808,66,DB11148$t
