,Drug1_ID,Drug2_ID,Y,Neg samples
167,DB01167,DB01349,5,DB00458$h
168,DB01440,DB01618,25,DB00765$t
169,DB01274,DB01601,75,DB00476$h
170,DB00981,DB00462,12,DB01328$h
171,DB06717,DB00332,9,DB01273$h
172,DB00454,DB01159,25,DB00242$h
173,DB01238,DB00296,66,DB08905$h
174,DB08880,DB00006,45,DB00468$t
175,DB04871,DB00983,5,DB00694$t
176,DB06781,DB06710,57,DB01153$t
177,DB00633,DB01002,25,DB00795$h
178,DB00794,DB09123,8,DB01340$h
179,DB06774,DB06212,9,DB06594$t
180,DB00231,DB00475,25,DB00204$t
181,DB00806,DB04272,45,DB00559$t
182,DB01043,DB00517,12,DB00960$h
183,DB04871,DB01435,5,DB00479$h
184,DB01095,DB00757,5,DB01624$h
185,DB00768,DB01578,14,DB01395$t
186,DB08912,DB00637,8,DB01041$h
187,DB01600,DB00384,34,DB00555$t
188,DB00862,DB01240,46,DB01178$h
189,DB09039,DB00751,5,DB06717$t
190,DB00675,DB00218,75,DB00241$t
191,DB00203,DB01624,9,DB00395$h
192,DB00814,DB09204,34,DB06213$t
193,DB09235,DB00964,25,DB00177$t
194,DB01263,DB01591,5,DB06782$t
195,DB00686,DB02709,25,DB00457$t
196,DB00939,DB01155,71,DB01086$h
197,DB00296,DB01433,25,DB00980$h
198,DB04871,DB00336,5,DB09138$h
199,DB08873,DB00296,5,DB01247$h
200,DB01069,DB01167,8,DB11121$h
201,DB00622,DB00530,5,DB04835$t
202,DB00246,DB00204,9,DB08922$h
203,DB06290,DB09039,9,DB08868$h
204,DB00960,DB00222,63,DB06264$t
205,DB02703,DB00296,9,DB00933$h
206,DB06717,DB06710,9,DB12278$t
207,DB00312,DB00602,6,DB06723$t
208,DB00381,DB00774,66,DB00284$h
209,DB01624,DB00425,53,DB00820$t
210,DB06694,DB01297,50,DB06216$h
211,DB00726,DB00771,25,DB00239$h
212,DB00498,DB06228,45,DB08795$h
213,DB01047,DB01245,25,DB09167$t
214,DB08912,DB09082,8,DB01182$h
215,DB00907,DB01501,25,DB00634$h
216,DB00537,DB09039,75,DB01158$t
217,DB00892,DB00934,25,DB00581$h
218,DB00312,DB11817,6,DB01236$h
219,DB09039,DB06148,5,DB06243$t
220,DB00418,DB01113,66,DB00741$h
221,DB01053,DB00946,45,DB01437$t
222,DB06716,DB00356,25,DB00766$t
223,DB01211,DB00647,5,DB06724$h
224,DB04868,DB00491,12,DB08877$h
225,DB09065,DB01595,5,DB01324$h
226,DB00663,DB01233,25,DB01063$t
227,DB12364,DB04951,26,DB00816$t
228,DB00199,DB00541,9,DB00907$t
229,DB01356,DB00218,75,DB00122$t
230,DB01268,DB06791,63,DB05015$t
231,DB01156,DB00343,5,DB00385$h
232,DB01365,DB00844,43,DB00988$h
233,DB01618,DB09224,25,DB00184$h
234,DB00896,DB01185,57,DB00218$h
235,DB01367,DB01407,25,DB00649$h
236,DB08912,DB01264,8,DB01103$h
237,DB01154,DB00999,73,DB01032$h
238,DB01591,DB06738,25,DB09090$h
239,DB00338,DB00531,5,DB05109$h
240,DB08820,DB01115,9,DB06410$t
241,DB09280,DB00220,8,DB00435$h
242,DB09242,DB06826,66,DB09281$t
243,DB01380,DB00175,9,DB08883$h
244,DB09281,DB09095,3,DB00885$t
245,DB01127,DB09230,25,DB01319$h
246,DB01164,DB00511,49,DB01191$t
247,DB01026,DB01198,9,DB00923$t
248,DB01024,DB00384,34,DB01039$h
249,DB06290,DB00757,9,DB00819$h
250,DB06196,DB06810,14,DB01195$h
251,DB00647,DB00999,25,DB11699$t
252,DB00834,DB00620,9,DB06594$t
253,DB00870,DB00421,34,DB01303$t
254,DB00310,DB00491,12,DB00950$t
255,DB09244,DB01203,66,DB00697$h
256,DB01200,DB01088,25,DB01012$h
257,DB09242,DB00542,66,DB01619$t
258,DB09084,DB01410,25,DB01234$h
259,DB06789,DB00914,12,DB00199$t
260,DB00196,DB00469,5,DB00354$t
261,DB00371,DB06282,25,DB00712$t
262,DB01118,DB08901,9,DB00855$h
263,DB00344,DB00593,25,DB06282$h
264,DB00843,DB00986,12,DB00694$t
265,DB00936,DB09216,25,DB13323$t
266,DB00972,DB08981,25,DB01048$t
267,DB00927,DB01026,8,DB00185$h
268,DB00708,DB04861,51,DB00178$h
269,DB06237,DB01240,46,DB01034$t
270,DB01154,DB01324,73,DB01036$t
271,DB09065,DB00914,9,DB00489$t
272,DB00387,DB00497,25,DB00345$h
273,DB09073,DB01190,9,DB06663$t
274,DB01320,DB01263,8,DB00983$h
275,DB09280,DB00602,8,DB09268$h
276,DB08881,DB01227,8,DB01089$t
277,DB00482,DB00843,5,DB01157$h
278,DB00543,DB00938,25,DB13231$h
279,DB01367,DB01203,66,DB01141$t
280,DB01377,DB01135,72,DB06788$t
281,DB00849,DB00335,66,DB01018$t
282,DB00467,DB01015,63,DB01065$t
283,DB00619,DB06789,5,DB01021$h
284,DB01236,DB08987,25,DB00944$h
285,DB06716,DB00370,53,DB06147$t
286,DB00857,DB01268,5,DB08941$h
287,DB00246,DB00241,25,DB00554$h
288,DB00320,DB01236,5,DB01299$t
289,DB00813,DB04871,25,DB06699$t
290,DB06725,DB04272,45,DB01589$t
291,DB00328,DB06196,25,DB06206$t
292,DB00210,DB01410,25,DB00997$h
293,DB06697,DB00381,25,DB00737$h
294,DB08881,DB00347,8,DB11994$h
295,DB00246,DB01065,25,DB00373$h
296,DB06203,DB01098,9,DB01262$h
297,DB00212,DB00678,66,DB00440$t
298,DB00422,DB01214,34,DB09093$h
299,DB08933,DB06207,9,DB04938$h
300,DB01026,DB01216,5,DB00745$h
301,DB04871,DB00805,5,DB00344$t
302,DB08820,DB01100,9,DB00636$h
303,DB01026,DB00846,9,DB06691$h
304,DB01169,DB00633,25,DB00992$h
305,DB00402,DB01041,53,DB00613$h
306,DB00656,DB00750,25,DB00461$t
307,DB09073,DB06267,9,DB00219$t
308,DB09477,DB00531,25,DB12364$t
309,DB00497,DB01618,25,DB00314$h
310,DB04871,DB05271,5,DB00177$t
311,DB00398,DB08860,5,DB00514$h
312,DB09048,DB09073,9,DB00677$t
313,DB08981,DB00452,14,DB13158$h
314,DB01587,DB00747,25,DB01167$h
315,DB00312,DB00187,66,DB00633$t
316,DB09074,DB00309,9,DB01380$t
317,DB00687,DB00331,12,DB09282$h
318,DB00188,DB01137,75,DB01620$h
319,DB02709,DB00282,25,DB06770$h
320,DB00228,DB01161,25,DB01210$h
321,DB01021,DB01054,66,DB00256$t
322,DB00919,DB00630,62,DB00413$t
323,DB00169,DB00991,5,DB13879$h
324,DB00834,DB01026,75,DB00651$h
325,DB01151,DB00246,75,DB09241$t
326,DB06196,DB06605,45,DB06603$t
327,DB00903,DB00419,12,DB00888$t
328,DB11362,DB01418,45,DB01107$h
329,DB00991,DB04898,45,DB00853$t
330,DB08820,DB00540,9,DB00876$t
331,DB04573,DB00997,8,DB01151$h
332,DB00326,DB00166,0,DB09291$t
333,DB00907,DB06153,25,DB06636$h
334,DB00371,DB09075,9,DB07615$t
335,DB00484,DB06712,46,DB00771$t
336,DB00409,DB00593,25,DB11641$h
337,DB00831,DB01175,25,DB00951$t
338,DB00821,DB04898,45,DB03754$t
339,DB00680,DB00318,66,DB01076$t
340,DB01356,DB01245,72,DB09220$t
341,DB01154,DB00921,53,DB00990$h
342,DB01021,DB00391,25,DB06725$h
343,DB00712,DB04272,45,DB08903$t
344,DB05812,DB00734,9,DB04572$t
345,DB00400,DB00783,6,DB08800$h
346,DB09054,DB00865,5,DB00275$h
347,DB00976,DB00932,5,DB08964$t
348,DB00254,DB04871,5,DB00441$t
349,DB01036,DB00537,75,DB00816$h
350,DB00374,DB00469,25,DB01070$t
351,DB09167,DB00831,5,DB01144$h
352,DB00768,DB08970,25,DB01296$t
353,DB09073,DB00617,9,DB01144$h
354,DB09054,DB01037,5,DB09069$h
355,DB01154,DB01353,25,DB00732$h
356,DB09074,DB09026,5,DB01167$h
357,DB00338,DB00327,5,DB01489$h
358,DB00951,DB00593,5,DB00353$h
359,DB01591,DB00215,75,DB09210$h
360,DB00333,DB00598,5,DB01192$h
361,DB00715,DB00246,75,DB01182$t
362,DB09065,DB00195,9,DB04272$h
363,DB00968,DB01197,25,DB00320$t
364,DB00240,DB00685,25,DB01416$t
365,DB08912,DB00773,8,DB00999$t
366,DB00619,DB08893,5,DB00953$h
367,DB08820,DB00808,9,DB01175$h
368,DB03615,DB01396,8,DB01188$h
369,DB00679,DB01203,66,DB00844$t
370,DB00337,DB04572,25,DB04918$h
371,DB00203,DB00968,46,DB11575$h
372,DB00543,DB01202,25,DB00827$h
373,DB09074,DB00820,5,DB09320$h
374,DB00283,DB06772,5,DB01575$t
375,DB08954,DB08816,45,DB00273$t
376,DB01243,DB01591,5,DB01162$t
377,DB01110,DB09238,25,DB00577$h
378,DB01151,DB01098,9,DB06800$t
379,DB09216,DB01395,60,DB00394$h
380,DB00794,DB00744,6,DB04845$h
381,DB01182,DB09078,75,DB03754$h
382,DB00594,DB00960,25,DB11828$t
383,DB00472,DB01355,5,DB09289$h
384,DB00899,DB00458,25,DB00933$h
385,DB01339,DB00899,25,DB01259$t
386,DB09286,DB00519,25,DB08901$h
387,DB02709,DB00278,45,DB00583$h
388,DB01026,DB00972,5,DB00647$h
389,DB00518,DB08916,9,DB00701$t
390,DB01339,DB01021,9,DB00630$h
391,DB00542,DB09084,25,DB09338$t
392,DB00412,DB00455,5,DB01130$h
393,DB00788,DB01021,12,DB09561$t
394,DB09281,DB09270,8,DB01228$t
395,DB06742,DB01098,9,DB06691$t
396,DB00371,DB00850,25,DB01273$t
397,DB00656,DB01063,25,DB01337$h
398,DB01551,DB00849,25,DB01132$t
399,DB00243,DB06654,5,DB11156$h
400,DB00899,DB13025,25,DB06603$h
401,DB00820,DB00960,46,DB09555$h
402,DB06204,DB09034,53,DB00651$h
403,DB01320,DB00738,8,DB04844$h
404,DB09291,DB00296,5,DB05521$t
405,DB00592,DB00491,12,DB09477$t
406,DB01189,DB09078,75,DB00564$t
407,DB01232,DB08916,8,DB00396$t
408,DB00281,DB09034,53,DB00487$t
409,DB04743,DB00817,71,DB00429$t
410,DB00436,DB06268,66,DB00954$h
411,DB08880,DB00669,9,DB00445$t
412,DB06196,DB09075,45,DB02187$t
413,DB00976,DB06287,25,DB00412$t
414,DB09204,DB00612,25,DB00742$h
415,DB00498,DB04865,26,DB00525$h
416,DB00818,DB00647,25,DB06819$t
417,DB09477,DB01020,25,DB00606$t
418,DB00500,DB01009,25,DB00442$h
419,DB09102,DB06695,10,DB01429$t
420,DB09204,DB00887,25,DB00281$t
421,DB00338,DB01559,5,DB00556$h
422,DB00212,DB01240,66,DB05812$h
423,DB00542,DB08981,25,DB00663$h
424,DB06717,DB04871,9,DB00423$h
425,DB00227,DB00477,5,DB09215$h
426,DB01171,DB01268,63,DB00687$t
427,DB00337,DB00877,25,DB00940$t
428,DB09073,DB05541,9,DB05266$h
429,DB00257,DB00996,25,DB06802$t
430,DB00647,DB01324,25,DB00337$h
431,DB00343,DB01062,5,DB01004$t
432,DB00542,DB04948,66,DB02959$t
433,DB01155,DB00912,63,DB00865$t
434,DB01247,DB01624,25,DB00379$t
435,DB00690,DB00405,25,DB00535$h
436,DB01607,DB00428,8,DB00964$h
437,DB01250,DB00764,25,DB09231$h
438,DB00472,DB00564,5,DB00235$h
439,DB00404,DB00593,25,DB08934$t
440,DB00436,DB08932,66,DB00669$h
441,DB01587,DB00985,25,DB00648$t
442,DB01171,DB01181,5,DB08912$h
443,DB09330,DB00998,8,DB00361$t
444,DB11574,DB06212,9,DB06155$t
445,DB00285,DB00331,63,DB01351$h
446,DB09238,DB01233,5,DB00924$h
447,DB01110,DB01115,25,DB00212$t
448,DB01029,DB08976,25,DB01041$t
449,DB08899,DB01181,8,DB09320$h
450,DB00870,DB00919,14,DB00552$h
451,DB00892,DB00241,25,DB04841$h
452,DB04855,DB08903,5,DB01220$t
453,DB08933,DB05039,9,DB01244$t
454,DB00484,DB06403,46,DB01245$t
455,DB01626,DB00422,61,DB00226$t
456,DB01222,DB00981,25,DB08801$t
457,DB09280,DB00655,8,DB00985$t
458,DB01440,DB01544,25,DB00958$h
459,DB00237,DB00899,25,DB11817$h
460,DB00469,DB00482,25,DB00332$h
461,DB00333,DB01021,25,DB00681$h
462,DB01244,DB00818,25,DB06786$t
463,DB00849,DB00310,73,DB06696$t
464,DB00812,DB06196,25,DB06292$t
465,DB09214,DB01050,25,DB11641$h
466,DB00178,DB09084,25,DB00950$t
467,DB09330,DB01173,9,DB01353$h
468,DB08881,DB00709,9,DB00698$t
469,DB00996,DB00458,25,DB00881$t
470,DB06802,DB00991,25,DB09238$t
471,DB01263,DB04871,5,DB01033$h
472,DB13142,DB01077,8,DB00944$t
473,DB00722,DB09276,25,DB09338$t
474,DB00673,DB01590,9,DB00791$t
475,DB00899,DB01267,25,DB00140$h
476,DB09065,DB00921,9,DB06772$h
477,DB04948,DB08941,25,DB01074$h
478,DB09068,DB00593,25,DB04918$t
479,DB13179,DB08860,9,DB06441$t
480,DB01275,DB09026,25,DB09256$t
481,DB00775,DB00861,25,DB00819$h
482,DB08954,DB09030,45,DB09073$t
483,DB09074,DB01138,5,DB00260$h
484,DB00945,DB06737,25,DB00349$h
485,DB00186,DB00933,25,DB00631$t
486,DB09073,DB00673,9,DB00703$t
487,DB08827,DB09079,9,DB05109$t
488,DB00454,DB00899,25,DB05541$t
489,DB04552,DB00187,34,DB09093$h
490,DB08881,DB01166,9,DB00749$h
491,DB00296,DB00956,53,DB00680$h
492,DB01180,DB08932,66,DB13323$h
493,DB00652,DB00700,25,DB08814$t
494,DB00475,DB00647,25,DB09074$h
495,DB00933,DB00268,77,DB06774$t
496,DB01248,DB01590,25,DB00153$h
497,DB00328,DB01088,12,DB11342$t
498,DB01603,DB09268,12,DB09291$h
499,DB08893,DB12161,5,DB09342$h
500,DB09054,DB01223,5,DB01245$h
501,DB00872,DB01275,25,DB09274$t
502,DB00749,DB04574,25,DB00892$t
503,DB01244,DB00206,25,DB00728$h
504,DB01159,DB00934,25,DB08875$t
505,DB00196,DB00317,5,DB01186$h
506,DB01039,DB01067,63,DB09134$t
507,DB00508,DB00747,25,DB00255$h
508,DB08976,DB01283,25,DB01319$h
509,DB09204,DB01020,25,DB01160$t
510,DB09073,DB01166,9,DB01545$h
511,DB01201,DB11613,6,DB08971$h
512,DB00753,DB00218,75,DB00959$t
513,DB00275,DB08932,66,DB00674$t
514,DB04855,DB00972,5,DB01463$h
515,DB01356,DB09017,25,DB04574$h
516,DB01118,DB00549,5,DB01130$h
517,DB08984,DB01325,12,DB06774$h
518,DB01597,DB01098,9,DB04911$h
519,DB01357,DB00620,9,DB09130$h
520,DB06196,DB00694,14,DB00461$t
521,DB00691,DB06708,75,DB09345$t
522,DB00218,DB00489,75,DB00335$t
523,DB09215,DB06813,9,DB01580$h
524,DB00310,DB06410,58,DB00188$h
525,DB09118,DB06789,9,DB01618$t
526,DB00726,DB00723,85,DB01070$t
527,DB08893,DB09183,5,DB00421$t
528,DB09074,DB01409,5,DB00389$t
529,DB01463,DB09017,25,DB00469$t
530,DB09073,DB01234,9,DB00845$h
531,DB00335,DB01210,25,DB00279$h
532,DB00384,DB00594,25,DB06707$h
533,DB08943,DB09236,25,DB01183$h
534,DB00608,DB01240,12,DB06712$t
535,DB00869,DB01214,66,DB01143$h
536,DB01171,DB00412,63,DB00957$t
537,DB08899,DB04871,8,DB01124$t
538,DB00850,DB00543,25,DB01280$t
539,DB01578,DB00884,62,DB09167$h
540,DB00227,DB08918,5,DB09083$h
541,DB01010,DB00483,12,DB06766$t
542,DB09084,DB00195,34,DB06704$t
543,DB08981,DB06826,12,DB09021$t
544,DB01396,DB08901,16,DB00555$h
545,DB01380,DB01097,25,DB00207$t
546,DB00962,DB01068,25,DB08887$h
547,DB00257,DB00384,5,DB09227$t
548,DB00619,DB00337,5,DB00572$t
549,DB00755,DB00903,25,DB04878$h
550,DB00258,DB09232,12,DB01262$t
551,DB00482,DB00498,45,DB00865$t
552,DB01435,DB06212,9,DB00853$t
553,DB00795,DB01418,45,DB00768$t
554,DB00896,DB04576,25,DB01331$h
555,DB00346,DB08808,66,DB01016$h
556,DB09220,DB09227,66,DB00589$t
557,DB04552,DB00808,12,DB00352$t
558,DB00531,DB08901,17,DB00130$h
559,DB01010,DB01295,51,DB09072$t
560,DB00620,DB00999,64,DB09212$t
561,DB00248,DB00633,61,DB01085$h
562,DB00231,DB00972,53,DB01077$h
563,DB00312,DB00295,6,DB01294$h
564,DB01597,DB00343,5,DB01418$h
565,DB00461,DB01160,12,DB07615$t
566,DB00962,DB06216,25,DB06739$t
567,DB00966,DB08981,25,DB04835$h
568,DB09280,DB00379,8,DB01029$h
569,DB09054,DB01126,9,DB09167$h
570,DB02709,DB07615,25,DB00220$t
571,DB00559,DB00184,8,DB01116$h
572,DB00976,DB01098,5,DB06710$h
573,DB00543,DB01175,25,DB06335$t
574,DB01282,DB00700,25,DB00208$h
575,DB00514,DB00543,25,DB00324$t
576,DB00831,DB00985,25,DB00232$h
577,DB00661,DB01558,5,DB01116$h
578,DB00254,DB00497,25,DB01201$h
579,DB01440,DB00921,53,DB06777$h
580,DB00312,DB00216,6,DB00760$h
581,DB08912,DB09080,8,DB00758$h
582,DB00497,DB00455,25,DB02513$t
583,DB00996,DB01174,25,DB11915$h
584,DB00326,DB01092,49,DB13158$t
585,DB00477,DB01113,25,DB01066$t
586,DB00963,DB01193,34,DB00972$t
587,DB01088,DB00742,25,DB01211$t
588,DB01351,DB00957,12,DB00936$h
589,DB00234,DB06480,9,DB06144$t
590,DB01009,DB01137,71,DB06292$h
591,DB04946,DB01251,12,DB00260$h
592,DB09063,DB00932,9,DB01164$t
593,DB01320,DB00641,8,DB04854$h
594,DB01159,DB09166,25,DB09320$h
595,DB00196,DB01041,5,DB09020$h
596,DB01221,DB00633,25,DB00300$h
597,DB00450,DB06402,75,DB09198$t
598,DB00939,DB01088,12,DB06154$t
599,DB00726,DB09220,66,DB00429$h
600,DB00708,DB01114,25,DB00619$t
601,DB09232,DB00187,25,DB00826$t
602,DB00501,DB04855,5,DB01118$h
603,DB09039,DB00185,5,DB11106$h
604,DB00268,DB01107,5,DB00189$h
605,DB00691,DB00800,66,DB13783$h
606,DB00208,DB06789,5,DB01199$h
607,DB00831,DB00765,77,DB08882$t
608,DB01041,DB00350,25,DB01016$h
609,DB00975,DB01113,25,DB00354$t
610,DB08820,DB08906,9,DB09085$t
611,DB01127,DB09236,25,DB00772$h
612,DB00424,DB01036,25,DB00508$h
613,DB09073,DB00363,9,DB01133$t
614,DB00921,DB08860,9,DB01210$t
615,DB00163,DB00498,45,DB11619$h
616,DB01401,DB00960,34,DB09477$h
617,DB00619,DB09078,5,DB00191$h
618,DB00661,DB00317,5,DB13783$t
619,DB00508,DB00540,25,DB12026$t
620,DB00744,DB00571,9,DB01325$h
621,DB00362,DB09227,25,DB09289$h
622,DB00474,DB04948,66,DB00453$h
623,DB00246,DB00990,5,DB00207$h
624,DB00224,DB05521,5,DB00622$h
625,DB09073,DB06697,9,DB00457$h
626,DB00214,DB01158,25,DB01120$h
627,DB08899,DB08827,8,DB04743$t
628,DB01254,DB12026,9,DB01144$h
629,DB01422,DB01220,9,DB01583$h
630,DB00582,DB00234,5,DB01415$h
631,DB00976,DB08820,9,DB00947$t
632,DB00932,DB00495,8,DB01423$t
633,DB09167,DB00757,5,DB00357$h
634,DB00933,DB01545,25,DB11231$t
635,DB00844,DB00807,25,DB01170$h
636,DB00683,DB09034,53,DB01325$h
637,DB00641,DB01098,9,DB00158$h
638,DB04908,DB09071,25,DB00152$h
639,DB00400,DB00425,9,DB00513$t
640,DB01075,DB08903,75,DB11636$h
641,DB01232,DB08893,5,DB01240$h
642,DB09241,DB01240,66,DB08913$t
643,DB00199,DB09396,5,DB06702$h
644,DB00936,DB01194,25,DB01586$h
645,DB02709,DB00502,25,DB00293$t
646,DB00708,DB05271,77,DB00266$t
647,DB00220,DB09054,9,DB00527$t
648,DB01113,DB01214,25,DB00411$h
649,DB08933,DB04946,9,DB09082$h
650,DB05039,DB00288,64,DB09021$h
651,DB00261,DB01418,45,DB01411$t
652,DB01295,DB03128,25,DB01059$t
653,DB09054,DB01227,5,DB00978$t
654,DB00246,DB01179,5,DB00970$h
655,DB08808,DB09026,66,DB00357$h
656,DB00337,DB00195,34,DB00790$t
657,DB12598,DB01240,12,DB01588$h
658,DB00381,DB00612,25,DB09055$h
659,DB05219,DB08875,5,DB09094$t
660,DB00834,DB01039,9,DB01213$t
661,DB08976,DB01410,25,DB06616$h
662,DB00203,DB01041,5,DB08819$t
663,DB00490,DB01236,25,DB09218$t
