,smiles,tox
56,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([NH3+])C[C@@H]1O,0
57,OCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0
58,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,1
59,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O,0
60,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])C12CC3CC(CC(O)(C3)C1)C2,0
61,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0
62,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
63,[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
64,[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]2O)[C@H]([NH3+])[C@@H](O)[C@@H]1O,0
65,O=S(=O)([O-])O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-],0
66,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0
67,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0
68,[NH3+][C@@H]1CONC1=O,0
69,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,0
70,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0
71,Nc1nc(=S)c2[nH]cnc2[nH]1,0
72,S=c1nc[nH]c2nc[nH]c12,0
73,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0
74,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,0
75,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I,0
76,Clc1cc(Cl)c(OCC#CI)cc1Cl,0
77,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,0
78,O=c1[nH]cc(F)c(=O)[nH]1,0
79,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,0
80,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,0
81,O=c1[nH]cc(F)c(=O)[nH]1,1
82,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],0
83,[NH3+][C@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],0
84,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,0
85,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
86,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],1
87,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,1
88,ClCC1CO1,0
89,Oc1ncnc2[nH]ncc12,0
90,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0
91,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,0
92,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0
93,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,0
94,[NH3+]C12CC3CC(CC(C3)C1)C2,0
95,C1=C/C(=C2\N=c3cnc4c(c3=N2)COCC4)NO1,0
96,Nc1cc[nH+]cc1,0
97,[NH3+]CCc1cc[nH]n1,0
98,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1,0
99,NC(N)=[NH+]C(=O)Cc1c(Cl)cccc1Cl,0
100,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
101,Clc1cccc(Cl)c1NC1=[NH+]CCN1,0
102,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,0
103,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0
104,O=C1CN2Cc3c(ccc(Cl)c3Cl)[NH+]=C2N1,0
105,Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,0
106,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,0
107,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0
108,O=C1CCCC(=O)[C-]1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],0
109,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,0
110,O=C([O-])c1cc(-c2ccc(F)cc2F)ccc1O,0
111,[NH3+]CCc1ccc(O)c(O)c1,0
112,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,0
113,O=C(NS(=O)(=O)c1ccc(Br)s1)c1ccc(Cl)cc1Cl,1
114,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0
115,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0
116,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0
117,[NH3+][C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)C[C@H]12,0
118,[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],0
119,O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0
120,N.N.O=C(O)C1(C(=O)O)CCC1.[Pt],1
121,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1
122,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,0
123,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[NH+](CC2CCC2)CC[C@]314,0
124,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0
125,Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1,0
126,O=C([O-])CCC(=O)OC[C@@H](NC(=O)[C-](Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,0
127,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1
128,[NH3+]CC(CC(=O)[O-])c1ccc(Cl)cc1,0
129,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,0
130,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,0
131,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)cnc2[nH]1,0
132,Nc1ccc(C(=O)NCC(=O)[O-])cc1,0
133,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0
134,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,0
135,[NH3+][C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-],0
136,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],0
137,c1cc(C[NH+]2CCCNCC[NH2+]CCCNCC2)ccc1C[NH+]1CCCNCC[NH2+]CCCNCC1,0
138,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,1
139,O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,0
140,Oc1ccc(CCCC[NH2+]C[C@H](O)c2ccc(O)c(O)c2)cc1,0
141,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0
142,Nc1ccc(S(N)(=O)=O)cc1,0
143,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,0
144,[NH2+]=C(NCCCCCCNC(=[NH2+])NC(=[NH2+])Nc1ccc(Cl)cc1)NC(=[NH2+])Nc1ccc(Cl)cc1,0
145,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1,0
146,NC(=O)OCC(O)COc1ccc(Cl)cc1,0
147,O=P([O-])([O-])C(Sc1ccc(Cl)cc1)P(=O)([O-])[O-],0
148,O=C([O-])c1cccnc1,0
149,NC(=O)c1cccnc1,0
150,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,1
151,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1
152,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,1
153,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1
154,NS(=O)(=O)c1cc(C(=O)[O-])c(NCc2ccco2)cc1Cl,0
155,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0
156,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,0
157,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,0
158,O=C1O[Pt]OC(=O)C12CCC2,0
159,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1,0
160,Oc1c(I)cc(Cl)c2cccnc12,0
161,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1,0
162,O=C1C([O-])=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0
163,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,0
164,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0
165,O=c1[nH]c2cc(Cl)ccc2o1,0
166,OC(C[NH2+]CC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,0
167,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,0
168,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[NH+]2CCC1CC2,0
169,N[C@@H]1CCCC[C@H]1[NH3+],0
170,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0
171,Clc1ccccc1C[NH+]1CCc2sccc2C1,0
172,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,0
173,[NH3+]Cc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3CC(=O)[O-])CS[C@H]12,0
174,Nc1ccc(/N=N/c2ccccc2)c(N)n1,0
175,O=C(O[C@H]1C[NH+]2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,0
176,c1ccc([C@H]2CN3CCSC3=[NH+]2)cc1,0
177,O=C([O-])COCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
178,OCCOCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
179,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[NH+](CCc2ccc3c(c2)CCO3)C1,0
180,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,0
181,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0
182,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,0
183,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,0
184,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCC1,0
185,OC(CCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1,0
186,NC(=O)OCC(COC(N)=O)c1ccccc1,0
187,O=C([O-])c1ccccc1,0
188,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0
189,O=C([O-])c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,0
190,O=C([O-])CNC(=O)c1ccccc1,0
191,N#CC(CC[NH+]1CCC(C(=O)[O-])(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,0
192,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
193,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0
194,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0
195,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0
196,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,0
197,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0
198,NC(=[NH2+])NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0
199,O=C([O-])Cc1ccccc1,0
200,NC(=O)NC(=O)Cc1ccccc1,0
201,c1ccc(CC2=[NH+]CCN2)cc1,0
202,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CCC[NH+]=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0
203,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CCCC[NH3+])C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0
204,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],0
205,OCc1cc(C(O)C[NH2+]CCCCCCOCCCCc2ccccc2)ccc1O,0
206,NNCCc1ccccc1,0
207,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,0
208,O=C(OCc1ccccc1)c1ccccc1,0
209,O=C([O-])CN(CCN(CC(=O)[O-])C(COCc1ccccc1)C(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],0
210,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,0
211,Nc1ccc(S(=O)(=O)[N-]c2ccnn2-c2ccccc2)cc1,0
212,O=C(CCCCCCC(=O)Nc1ccccc1)NO,1
213,O=NN(CCCl)C(=O)NC1CCCCC1,0
214,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,0
215,O=c1[nH]c2ccccc2n1C1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
216,O=C(CCC[NH+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0
217,O=c1oc2ccccc2c([O-])c1Cc1c([O-])c2ccccc2oc1=O,0
218,Nc1c2c([nH+]c3ccccc13)CCCC2,0
219,O=C(OC1CC2CC3C[C@H](C1)[NH+]2CC3=O)c1c[nH]c2ccccc12,0
220,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1
221,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0
222,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0
223,O=C1O[Bi](O)Oc2ccccc21,0
224,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0
225,O=C(CCS)N1CCc2c([nH]c3ccccc23)C1,0
226,NC(N)=[NH+]CCCC(NC(=O)[C@H]([NH3+])CCC[NH+]=C(N)N)C(=O)N1CCCC1C(=O)N1C[C@H](O)CC1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)[O-])C[C@@H]2CCCC[C@@H]21,0
227,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0
228,NC1=[NH+]CC2c3ccccc3Cc3ccccc3N12,0
229,NC(=O)N1c2ccccc2C=Cc2ccccc21,0
230,c1ccc2c(c1)CCCC2C1=[NH+]CCN1,0
231,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0
232,OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
233,OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
234,NC(N)=[NH+]CCN1CCCCCCC1,0
235,[O-]n1ccccc1=S,0
236,O=C(c1ccc2nonc2c1)N1CCCCC1,1
237,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,1
238,O=C([O-])CCC[NH+]1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0
239,O=C([O-])c1cc(/N=N/c2ccc(S(=O)(=O)[N-]c3ccccn3)cc2)ccc1O,0
240,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0
241,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1
242,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1
243,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,0
244,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1,0
245,O=C([O-])CN1CCN(C(CO)C(O)CO)CCN(CC(=O)[O-])CC[NH+](CC(=O)[O-])CC1,0
246,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0
247,O=P([O-])([O-])C(O)(Cn1ccnc1)P(=O)([O-])[O-],0
248,S=P(N1CC1)(N1CC1)N1CC1,0
249,NC(=O)c1cnccn1,0
250,O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(c2ncccn2)CC1,0
251,C1C[NH2+]CCN1,0
252,NNC(=O)c1ccncc1,0
253,O=P1(N(CCCl)CCCl)NCCCO1,1
254,O=C1CCO1,0
255,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
256,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0
257,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0
258,Nc1nc(=S)c2[nH]cnc2[nH]1,1
259,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,1
260,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,1
261,OC[C@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@@H]1O,0
262,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0
263,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,0
264,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,0
265,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O,0
266,C[NH+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,0
267,C[NH+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0
268,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1,0
269,C[C@H]([NH3+])[C@H](O)c1ccc(O)c(O)c1,0
270,C[C@H]([NH2+]CCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,0
271,C[C@H]([NH3+])[C@H](O)c1cccc(O)c1,0
272,C/C(=N\O)[C@@H](C)[NH2+]CC(C)(C)C[NH2+][C@H](C)/C(C)=N/O,0
273,C[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],0
274,C[C@H]([NH3+])C(=O)N[C@@H](C)C(=O)NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)C[C@H]12,0
275,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,0
276,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0
277,COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,1
278,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,0
279,C[C@H]([NH3+])Cc1ccccc1,0
280,COc1ccc2c(c1)N(C[C@H](C)C[NH+](C)C)c1ccccc1S2,0
281,C[C@@H](CN1CC(=O)NC(=O)C1)[NH+]1CC(=O)NC(=O)C1,0
282,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,0
283,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12,0
